Barn [kW],Dishwasher [kW],Fridge [kW],Furnace 1 [kW],Furnace 2 [kW],Garage door [kW],Home office [kW],House overall [kW],Kitchen 12 [kW],Kitchen 14 [kW],Kitchen 38 [kW],Living room [kW],Microwave [kW],Solar [kW],Well [kW],Wine cellar [kW],apparentTemperature,datetime,dewPoint,gen [kW],humidity,precipIntensity,precipProbability,pressure,temperature,use [kW],visibility,windBearing,windSpeed
0.031783333,1.67e-05,0.005,0.096983333,0.06286666699999999,0.012883333,0.043283333,0.497066667,0.00075,6.67e-05,1.67e-05,0.0017,0.004233333,0.003416667,0.001016667,0.123283333,29.4,2016-01-01 02:00:00,23.9,0.003416667,0.61,0.0,0.0,1016.25,35.87,0.497066667,10.0,285.0,8.29
0.031766667,0.000216667,0.01050000000000001,0.44695,0.062916667,0.012616667,0.043583333,0.820666667,0.000733333,0.000333333,1.67e-05,0.0016,0.0041,0.003466667,0.001016667,0.007733333,28.87,2016-01-01 02:01:00,23.39,0.003466667,0.61,0.0,0.0,1015.98,35.4,0.820666667,10.0,281.0,8.2
0.031833333,0.0,0.005133333,0.070333333,0.063983333,0.013183333,0.05465,0.366983333,0.000733333,3.33e-05,1.67e-05,0.0017,0.0043,0.00345,0.001,0.007216667,30.51,2016-01-01 02:02:00,24.18,0.00345,0.64,0.0,0.0,1016.07,35.25,0.366983333,10.0,265.0,5.47
0.0318,0.0002,0.1226,0.449633333,0.062933333,0.012683333,0.04355,0.956766667,0.000466667,0.0002,0.0,0.001633333,0.004116667,0.0035,0.001033333,0.006933333,29.65,2016-01-01 02:03:00,24.35,0.0035,0.64,0.0,0.0,1015.86,35.49,0.956766667,10.0,265.0,7.08
0.031716667,1.67e-05,0.129583333,0.020816667,0.063183333,0.013283333,0.043383333,0.459583333,0.000466667,8.33e-05,0.0,0.001616667,0.004283333,0.003416667,0.001,0.007133333,29.79,2016-01-01 02:04:00,24.79,0.003416667,0.65,0.0,0.0,1015.59,35.26,0.459583333,10.0,268.0,6.45
0.031766667,0.0,0.005133333,0.060633333,0.063233333,0.01315,0.043383333,0.343533333,0.000733333,3.33e-05,0.0,0.001566667,0.004266667,0.003433333,0.001,0.0071,29.41,2016-01-01 02:05:00,24.92,0.003433333,0.66,0.0,0.0,1015.52,34.99,0.343533333,10.0,260.0,6.53
0.031966667,0.0,0.005083333,0.107416667,0.063266667,0.0131,0.043333333,0.388516667,0.000733333,3.33e-05,3.33e-05,0.001583333,0.004266667,0.003433333,0.001,0.007033333,30.05,2016-01-01 02:06:00,24.84,0.003433333,0.66,0.0,0.0,1015.75,35.06,0.388516667,10.0,259.0,5.77
0.030683333,1.67e-05,0.005133333,0.0205,0.062416667,0.013116667,0.042433333,0.29725,0.00075,1.67e-05,3.33e-05,0.001483333,0.00425,0.003433333,0.001016667,0.00705,29.61,2016-01-01 02:07:00,25.27,0.003433333,0.68,0.0,0.0,1015.59,34.83,0.29725,10.0,258.0,5.99
0.029433333,1.67e-05,0.12215,0.0206,0.06525,0.0131,0.041483333,0.3903,0.000433333,8.33e-05,0.0,0.00155,0.00425,0.05,0.001,0.007,30.97,2016-01-01 02:08:00,25.26,0.05,0.65,0.0,0.0,1015.7,35.7,0.3903,10.0,255.0,5.55
0.028783333,0.0,0.135716667,0.020533333,0.065866667,0.013033333,0.041666667,0.65615,0.000333333,1.67e-05,1.67e-05,0.3354,0.00425,0.086283333,0.001016667,0.006966667,32.74,2016-01-01 02:09:00,25.08,0.086283333,0.62,0.0,0.0,1015.68,36.92,0.65615,10.0,238.0,5.14
0.028033333,0.000283333,0.004683333,0.5861,0.25365,0.01235,0.0418,1.383566667,0.000666667,0.000383333,0.0,0.336433333,0.004233333,0.019383333,0.001033333,0.0071,31.14,2016-01-01 02:10:00,25.26,0.019383333,0.62,0.0,0.0,1015.19,36.87,1.383566667,10.0,239.0,7.37
0.029383333,8.33e-05,0.124833333,0.021683333,0.6166,0.013483333,0.041133333,1.3964,0.000383333,0.0004,1.67e-05,0.10105,0.004183333,0.012816667,0.001,0.007766667,30.5,2016-01-01 02:11:00,24.3,0.012816667,0.59,0.0,0.0,1014.21,37.31,1.3964,10.0,272.0,9.59
0.02845,0.0,0.113033333,0.01973333300000002,0.0631,0.01255,0.041266667,3.649366667,0.00045,1.67e-05,1.67e-05,0.098166667,0.004083333,0.028666667,0.001016667,0.118233333,30.36,2016-01-01 02:12:00,24.06,0.028666667,0.59,0.0,0.0,1013.33,37.14,3.649366667,10.0,273.0,9.45
0.029,6.67e-05,0.110216667,0.436733333,0.631116667,0.01265,0.041316667,1.90885,0.000516667,0.0455,1.67e-05,0.099316667,0.004116667,0.011766667,0.001,0.123483333,31.38,2016-01-01 02:13:00,23.81,0.011766667,0.58,0.0,0.0,1012.71,37.19,1.90885,10.0,268.0,7.61
0.085183333,0.112683333,0.10855,0.021066667,0.605766667,0.013183333,0.04105,1.2211,0.0004,0.00025,1.67e-05,0.001516667,0.00415,0.011966667,0.001083333,0.007216667,30.95,2016-01-01 02:14:00,23.87,0.011966667,0.6,0.0,0.0,1012.44,36.57,1.2211,9.07,260.0,7.09
0.266983333,0.000333333,0.106533333,0.485466667,0.06195,0.0123,0.04155,1.15035,0.000666667,0.00015,1.67e-05,0.001016667,0.004316667,0.00185,0.001016667,0.007016667,29.09,2016-01-01 02:15:00,23.78,0.00185,0.61,0.0,0.0,1012.44,35.91,1.15035,9.9,256.0,8.95
0.3789,0.000233333,0.1068,0.4822,0.062266667,0.012166667,0.0427,1.523116667,0.000666667,0.000116667,1.67e-05,0.097066667,0.004266667,0.003466667,0.001016667,0.007233333,28.42,2016-01-01 02:16:00,24.52,0.003466667,0.65,0.0011,0.02,1012.62,34.89,1.523116667,9.05,255.0,7.91
0.3491,1.67e-05,0.106283333,0.02005,0.062766667,0.012816667,0.042233333,1.4024,0.000683333,0.000233333,1.67e-05,0.099133333,0.004816667,0.003466667,0.001,0.007383333,27.38,2016-01-01 02:17:00,24.39,0.003466667,0.68,0.0011,0.02,1012.96,33.87,1.4024,8.52,265.0,7.58
0.035883333,5e-05,0.5938,0.4861500000000001,0.658983333,0.012333333,0.041833333,5.35965,0.000616667,0.00065,3.33e-05,0.097033333,0.00405,0.003316667,0.001,0.007516667,25.25,2016-01-01 02:18:00,24.1,0.003316667,0.7,0.0,0.0,1013.62,32.87,5.35965,8.06,273.0,9.14
0.035866667,0.0,0.005083333,0.020116667,0.0778,0.012883333,0.1138,1.3943,0.0008,0.0,0.0,0.34695,0.003966667,0.00325,0.00105,0.007433333,25.12,2016-01-01 02:19:00,22.79,0.00325,0.68,0.0,0.0,1013.78,32.17,1.3943,9.8,278.0,7.89
0.035283333,3.33e-05,0.004666667,0.114833333,0.0774,0.012916667,0.5228,0.895633333,0.000733333,0.0004,1.67e-05,0.00165,0.004183333,0.00345,0.001016667,0.006983333,24.54,2016-01-01 02:20:00,20.21,0.00345,0.63,0.0,0.0,1013.9,31.43,0.895633333,10.0,275.0,7.4
0.034716667,1.67e-05,0.009683333000000002,0.020583333,0.061366667,0.013,0.470866667,0.80945,0.0007,0.0003,1.67e-05,0.001616667,0.004066667,0.00345,0.001016667,0.007266667,24.23,2016-01-01 02:21:00,18.96,0.00345,0.61,0.0,0.0,1013.89,30.98,0.80945,10.0,266.0,7.06
0.035116667,0.000233333,0.0047,0.486216667,0.085866667,0.012583333,0.1697,0.917716667,0.0008,0.0004,3.33e-05,0.00165,0.00425,0.003466667,0.001016667,0.00695,22.86,2016-01-01 02:22:00,18.33,0.003466667,0.6,0.0,0.0,1014.04,30.49,0.917716667,10.0,269.0,8.23
0.0342,1.231283333,0.1361,0.492266667,0.68015,0.011466667,0.051483333,2.908333333,0.000466667,0.000833333,3.33e-05,0.001633333,0.004183333,0.003383333,0.001033333,0.007,22.44,2016-01-01 02:23:00,17.82,0.003383333,0.6,0.0,0.0,1014.19,30.04,2.908333333,10.0,275.0,8.02
0.03455,1.36675,0.00385,0.4934,0.071683333,0.011016667,0.05195,2.09405,0.000933333,0.001316667,1.67e-05,0.001783333,0.004216667,0.0034,0.001033333,0.0061,21.85,2016-01-01 02:24:00,17.44,0.0034,0.6,0.0,0.0,1014.24,29.56,2.09405,10.0,273.0,8.04
0.034733333,0.00025,0.005166667,0.02085,0.063183333,0.01325,0.05115,0.3934,0.000733333,1.67e-05,0.0,0.001683333,0.004133333,0.003466667,0.001016667,0.006983333,20.96,2016-01-01 02:25:00,17.64,0.003466667,0.62,0.0,0.0,1014.27,28.84,0.3934,10.0,270.0,8.04
0.034466667,4.9999999999999996e-05,0.0822,0.503866667,0.063716667,0.0125,0.051366667,0.883133333,0.000583333,0.000266667,0.0,0.00165,0.004233333,0.0034,0.001016667,0.006683333,21.38,2016-01-01 02:26:00,18.18,0.0034,0.63,0.0,0.0,1014.44,29.15,0.883133333,9.81,267.0,8.0
0.034083333,0.000216667,0.00505,0.436216667,0.5712,0.01295,0.050733333,1.4086,0.000666667,3.33e-05,0.0,0.0016,0.0041,0.003433333,0.001033333,0.007083333,22.39,2016-01-01 02:27:00,18.6,0.003433333,0.63,0.0,0.0,1014.25,29.55,1.4086,10.0,260.0,7.22
