Eletrodomestico;Comodo;Gasto;Data
Geladeira;Cozinha;50,00 KWh;10/03/2023
Ar condicionado;Quarto;100,00 KWh;10/03/2023
Maquina de Lavar;Lavanderia;40,00 KWh;10/03/2023
Televisao;Sala;30,00 KWh;10/03/2023
Chuveiro eletrico;Banheiro;35,00 KWh;10/03/2023
Ventilador;Quarto;15,00 KWh;10/03/2023
Microondas;Cozinha;20,00 KWh;10/03/2023
Computador;Escritorio;20,00 KWh;10/03/2023
Secador de Cabelo;Banheiro;10,00 KWh;10/03/2023
Forno Eletrico;Cozinha;40,00 KWh;10/03/2023
Ferro de passar;Lavanderia;3,00 KWh;11/03/2023
Cafeteira;Cozinha;5,00 KWh;11/03/2023
Ar condicionado;Sala;80,00 KWh;11/03/2023
Chuveiro eletrico;Banheiro;40,00 KWh;11/03/2023
Televisao;Quarto;20,00 KWh;11/03/2023
Ventilador;Sala;10,00 KWh;11/03/2023
Aspirador de po;Sala;10,00 KWh;11/03/2023
Forno Eletrico;Cozinha;40,00 KWh;11/03/2023
Maquina de Lavar;Lavanderia;40,00 KWh;11/03/2023
Aquecedor;Quarto;30,00 KWh;11/03/2023
Microondas;Cozinha;20,00 KWh;12/03/2023
Geladeira;Cozinha;50,00 KWh;12/03/2023
Televisao;Sala;30,00 KWh;12/03/2023
Ventilador;Quarto;15,00 KWh;12/03/2023
Computador;Escritorio;20,00 KWh;12/03/2023
Ar condicionado;Quarto;100,00 KWh;12/03/2023
Aspirador de po;Sala;10,00 KWh;12/03/2023
Ferro de passar;Lavanderia;3,00 KWh;12/03/2023
Cafeteira;Cozinha;5,00 KWh;12/03/2023
Secador de Cabelo;Banheiro;10,00 KWh;12/03/2023
